iter	Passed	Remaining
915	1488	136
916	1490	134
917	1493	133
918	1495	131
919	1496	130
920	1498	128
921	1500	126
922	1501	125
923	1503	123
924	1505	122
925	1506	120
926	1508	118
927	1510	117
928	1512	115
929	1513	113
930	1514	112
931	1516	110
932	1518	109
933	1520	107
934	1522	105
935	1524	104
936	1526	102
937	1527	100
938	1529	99
939	1531	97
940	1532	96
941	1534	94
942	1535	92
943	1537	91
944	1539	89
945	1540	87
946	1542	86
947	1543	84
948	1545	83
949	1546	81
950	1548	79
951	1549	78
952	1550	76
953	1552	74
954	1553	73
955	1555	71
956	1556	69
957	1558	68
958	1559	66
959	1560	65
960	1562	63
961	1564	61
962	1565	60
963	1566	58
964	1568	56
965	1570	55
966	1572	53
967	1573	52
968	1574	50
969	1576	48
970	1577	47
971	1578	45
972	1580	43
973	1581	42
974	1583	40
975	1584	38
976	1585	37
977	1587	35
978	1588	34
979	1590	32
980	1592	30
981	1593	29
982	1595	27
983	1597	25
984	1598	24
985	1599	22
986	1601	21
987	1602	19
988	1604	17
989	1605	16
990	1607	14
991	1609	12
992	1610	11
993	1611	9
994	1613	8
995	1614	6
996	1616	4
997	1617	3
998	1618	1
999	1620	0
